宇宙,星球,房產名稱,類型,價格(Credits),風水等級,特殊效果,位置描述
第一·歸墟,蔓哈頓深坑星,廢土公寓,公寓,10000,Lv.1,基礎休息,Level -500m 破爛一條街
第一·歸墟,蔓哈頓深坑星,深坑別墅,獨立屋,80000,Lv.2,靈魂修復+5%,Level -800m 相對安全區
第二·武神界,鐵拳星,武館宿舍,公寓,15000,Lv.1,體力恢復+10%,刑天城外圍
第二·武神界,鐵拳星,競技場豪宅,豪宅,250000,Lv.3,戰鬥經驗+20%,刑天競技場VIP區
第三·神經網,皮層星,數據艙,公寓,20000,Lv.1,記憶整理+10%,虛擬層公寓
第三·神經網,夢境層,意識別墅,獨立屋,100000,Lv.2,記憶繼承+10%,純虛擬豪宅
第四·智械天庭,工蜂星,機械艙,公寓,25000,Lv.1,維修免費,工蜂居住區
第四·智械天庭,玉樞戴森球,量子宮殿,莊園,2000000,Lv.4,所有屬性+15%,VIP專屬區 需聲望>80
第五·星際商盟,金幣星,賭城公寓,公寓,50000,Lv.1,賭博運+10%,永夜賭城平民區
第五·星際商盟,金幣星,商業大廈頂樓,豪宅,500000,Lv.3,金錢收入+20%,金融區頂樓
第五·星際商盟,天樞交易站,太空豪宅,豪宅,800000,Lv.3,跨宇宙快速旅行,中央樞紐VIP
第六·元素洪爐,伏爾甘,熔岩洞穴,公寓,30000,Lv.1,火屬性+20%,火山口居住區
第六·元素洪爐,冰晶衛星,冰宮,獨立屋,150000,Lv.2,冰屬性+20%,冰川之巔
第七·生化樂園,蓋亞之腹,生物艙,公寓,40000,Lv.1,生命恢復+15%,有機層居住區
第七·生化樂園,純種保留地,花園別墅,獨立屋,200000,Lv.2,壽命消耗-10%,純種人類區
第八·幽冥,冥河伺服器,靈魂艙,公寓,35000,Lv.1,靈魂穩定+10%,虛擬冥界
第八·幽冥,遺忘圖書館,寧靜書房,獨立屋,180000,Lv.2,記憶保護+20%,圖書館內部
第九·深淵,碎夢殘域,混亂小屋,公寓,5000,Lv.1,無 隨機debuff,最便宜但危險
第九·深淵,零點黑洞邊緣,虛空堡壘,豪宅,1000000,Lv.3,世界變動率-20%,極度危險但強大
第十·聖堂,白矮星,地下避難所,公寓,100000,Lv.1,躲避追殺,違禁居住區 被發現=死
第十·聖堂,光之圖書館,秘密書房,獨立屋,500000,Lv.2,功德獲取+30%,需完成特殊任務
