道具名稱,類型,購買價格(Credits),出售價格(Credits),功德獎勵,效果,獲取方式,稀有度,備註
銅錢,消耗品,10,2,0,算命工具,商店,普通,初始裝備
量子骰子,消耗品,500,100,0,高級算命工具 +10%精準度,商店/黑市,稀有,升級版
賽博羅盤,裝備,0,0,0,顯示方位 五行,初始,普通,初始裝備
虛無面紗,裝備,500000,100000,0,遮蔽天機必需品,第九宇宙·亞茲,傳說,禁術道具
時間沙漏,消耗品,10000,2000,0,延長技能持續時間+50%,黑市,稀有,一次性
功德珠,消耗品,5000,1000,1000,直接獲得1000功德,寺廟/黑市,稀有,快速獲取功德
靈魂水晶,消耗品,50000,10000,0,修復10%靈魂磨損,IG/黑市,稀有,輪迴必需品
記憶碎片,任務道具,不可購買,1000,0,NPC記憶殘留,NPC死亡掉落,稀有,起死回生必需
定情信物·紅繩,特殊,不可購買,0,0,記憶繼承+100%,劇情獲得,傳說,星塵專屬
定情信物·佛珠,特殊,不可購買,0,0,記憶繼承+100%,劇情獲得,傳說,零號專屬
定情信物·水晶,特殊,不可購買,0,0,記憶繼承+100%,劇情獲得,傳說,幽影專屬
定情信物·CD,特殊,不可購買,0,0,記憶繼承+100%,劇情獲得,傳說,歌姬專屬
法則碎片·始,核心道具,不可購買,0,0,歸墟法則,第一宇宙王座,神話,通天必需
法則碎片·力,核心道具,不可購買,0,0,武神界法則,奎托斯試煉,神話,通天必需
法則碎片·知,核心道具,不可購買,0,0,神經網法則,蓋亞交易,神話,通天必需
法則碎片·序,核心道具,不可購買,0,0,智械天庭法則,玉皇Prime,神話,通天必需
法則碎片·利,核心道具,不可購買,0,0,商盟法則,沃倫交易,神話,通天必需
法則碎片·變,核心道具,不可購買,0,0,元素洪爐法則,聚變贈送,神話,通天必需
法則碎片·生,核心道具,不可購買,0,0,生化樂園法則,母體任務,神話,通天必需
法則碎片·終,核心道具,不可購買,0,0,幽冥法則,閻羅X合作,神話,通天必需
法則碎片·空,核心道具,不可購買,0,0,深淵法則,亞茲贈予,神話,通天必需
法則碎片·光,核心道具,不可購買,0,0,聖堂法則,陸吾試煉,神話,通天必需
時間長河(殘片),至寶,不可購買,0,0,操控時間,導師贈送,神話,創世五至寶
太虛星圖,至寶,不可購買,0,0,宇宙導航,饕餮黑市,神話,創世五至寶
命運之風,至寶,不可購買,0,0,改變命運,散落各處,神話,創世五至寶
意識之火,至寶,不可購買,0,0,點燃靈魂,虛空巨鯨,神話,創世五至寶
大地之核,至寶,不可購買,0,0,穩固存在,第一宇宙地心,神話,創世五至寶
體力藥水(小),消耗品,100,20,0,恢復30%體力,商店,普通,量產
體力藥水(中),消耗品,500,100,0,恢復60%體力,商店,普通,量產
體力藥水(大),消耗品,2000,400,0,恢復100%體力,商店,稀有,量產
生命藥水(小),消耗品,200,40,0,恢復30%HP,商店,普通,量產
生命藥水(中),消耗品,1000,200,0,恢復60%HP,商店,普通,量產
生命藥水(大),消耗品,5000,1000,0,恢復100%HP,商店,稀有,量產
解毒劑,消耗品,300,60,0,清除中毒,商店,普通,量產
冷卻劑,消耗品,1000,200,0,重置所有技能冷卻,黑市,稀有,量產
加速符,消耗品,500,100,0,移動速度+50% 持續5分鐘,商店,普通,量產
