技能名稱,術類,等級,熟練度需求,冷卻時間(秒),功德消耗,持續時間(秒),效果數值,使用限制,備註
基礎吐納,山術-修命,1,0,0,0,0,壽命+10年 體力恢復+20%,無,初始技能
五行吐納,山術-修命,2,500,3600,0,1800,防禦+30% or 攻擊+30%,環境相關,需對應五行環境
胎息法,山術-修命,3,2000,600,0,無限,隱身+生命恢復10%/秒,無法移動,假死狀態
金剛不壞,山術-修命,4,5000,300,30%當前體力,10,免疫所有傷害,無法攻擊,10秒無敵
真空粉碎,山術-修命,5,10000,單輪迴1次,1000功德,瞬間,傷害=功德×10,消耗50%體力,需命運之風
涅槃重生,山術-修命,MAX,100000,單輪迴1次,10000功德,瞬間,死亡時復活 恢復50%HP,功德不足無效,不死之身
靈覺,山術-修性,1,0,0,0,被動,顯示NPC靈魂印記,無,被動技能
天眼通,山術-修性,2,1000,600,100功德,60,看穿幻象,無,破除偽裝
天地共鳴,山術-修性,3,3000,1800,0,600,預警危險 發現機會,範圍500米,感知命運之風
心靈感應,山術-修性,4,6000,3600,500功德,300,聽到NPC內心,可能被察覺,讀心術
天人合一,山術-修性,5,10000,單輪迴1次,5000功德,30,感知整個宇宙,壽命-10年,需意識之火
基礎針灸,醫術-治療,1,0,600,0,瞬間,恢復50%HP,可對NPC使用,初始技能
五臟調理,醫術-治療,2,500,300,100功德,瞬間,清除所有異常狀態,無,治療debuff
續命金針,醫術-治療,3,2000,86400,1000功德,瞬間,救活瀕死NPC,HP<10% 死亡<1小時,目標失去10%記憶
起死回生,醫術-治療,4,5000,單輪迴1次,5000功德,瞬間,救活已死NPC,死亡<24小時 需靈魂碎片,變成半靈體
奪天改命,醫術-治療,5,10000,0,壽命轉移,瞬間,轉移壽命 你-10年=他+5年,最多轉50年,需意識之火
長生術,醫術-治療,MAX,100000,0,0,被動,不再自然衰老,僅戰鬥/技能消耗壽命,永生
祛邪符,醫術-驅鬼,1,0,0,0,瞬間,驅散低級惡靈,中等傷害,初始技能
淨化靈魂,醫術-驅鬼,2,1000,3600,500功德,瞬間,清除詛咒附身心魔,可對NPC使用,驅魔
封印術,醫術-驅鬼,3,3000,600,1000功德,瞬間,封印惡靈入物品,最多3個,可研究/釋放
度化,醫術-驅鬼,4,6000,86400,2000功德,瞬間,惡靈轉善靈,成功率50%,失敗=消失
引渡亡魂,醫術-驅鬼,5,10000,604800,5000功德,瞬間,送靈魂入輪迴,需與閻羅X合作,真正超度
觀命,命術-知命,1,0,0,0,瞬間,顯示基本信息,可視範圍,初始技能
測運,命術-知命,2,500,3600,100功德,瞬間,顯示7天運勢,可算命賺錢,運勢預測
探命,命術-知命,3,2000,86400,1000功德,瞬間,知道深層信息,目標可能察覺,讀取秘密
窺天機,命術-知命,4,5000,604800,500功德,瞬間,看到命運線,世界變動率+10%,每輪迴3次
全知,命術-知命,5,10000,單輪迴1次,10000功德,30,知道所有生命狀態,觀察者標記+100%,需命運之風
小改運,命術-改命,1,0,3600,100功德,86400,微調小運勢,世界變動率+1%,初始技能
轉運,命術-改命,2,1000,86400,1000功德,604800,改變7天運勢,世界變動率+5%,好運↔壞運
改命,命術-改命,3,3000,604800,10000功德,永久,改變人生軌跡,世界變動率+15%,逆天改命
逆天改命,命術-改命,4,6000,2592000,50000功德,永久,徹底改寫命運,世界變動率+30% 壽命-5年,一月1次
奪舍天命,命術-改命,5,10000,單輪迴1次,100000功德,永久,轉移氣運,世界變動率+50% 壽命-10年,需欺天陣法 禁術
改寫世界線,命術-改命,MAX,100000,單輪迴1次,50000功德,瞬間,回溯本輪迴,壽命-20年,讀檔功能
隱匿,命術-遮天,1,0,600,0,300,隱藏靈魂波長,低級敵人無效,半隱身
易容,命術-遮天,2,1000,21600,500功德,3600,偽裝他人,熟人會發現,改變外貌
欺天術,命術-遮天,3,3000,86400,2000功德,600,觀察者看不到,範圍10米,不增加變動率
欺天陣法,命術-遮天,4,6000,86400,3000功德,3600,創造變動率盲區,範圍100米 需奇門遁甲,核心技能
遮蔽天機,命術-遮天,5,10000,單輪迴1次,20000功德,600,完全隱藏存在,壽命-5年,需虛無面紗
尋龍點穴,相術-風水,1,0,0,0,600,顯示五行屬性,範圍50米,初始技能
風水佈局,相術-風水,2,500,3600,500功德,永久,調整環境風水,需道具,戰鬥前佈陣
龍脈感知,相術-風水,3,2000,21600,1000功德,3600,看到星球龍脈,整個星球,尋寶探索
改天換地,相術-風水,4,5000,604800,20000功德,86400,改變區域風水,範圍1公里,詛咒/祝福
逆轉乾坤,相術-風水,5,10000,單輪迴1次,100000功德,3600,改變星球法則,世界變動率+40% 需太虛星圖,對抗道主
觀氣色,相術-面相,1,0,0,0,被動,看到NPC氣色,被動顯示,初始技能
察言觀色,相術-面相,2,1000,1800,300功德,180,識破謊言,對話中使用,微表情分析
讀心術,相術-面相,3,3000,3600,1000功德,300,看到當前想法,無,內心獨白
觀命格,相術-面相,4,6000,0,500功德/人,永久,看到NPC命格,一次性,天命/災星等
洞察本質,相術-面相,5,10000,86400,5000功德,瞬間,看穿所有偽裝,可能發現震撼真相,真實種族
破妄之眼,相術-面相,MAX,100000,0,0,永久,看穿夢境本質,精神崩潰風險,看到第四面牆
銅錢卜卦,卜術-卜卦,1,0,600,0,瞬間,預測吉凶,準確率60%,初始技能
梅花易數,卜術-卜卦,2,500,3600,100功德,瞬間,環境起卦,準確率70%,觀察外應
奇門遁甲,卜術-卜卦,3,2000,21600,1000功德,瞬間,3×3解謎預測,準確率85%,需解謎
六爻神斷,卜術-卜卦,4,5000,86400,3000功德,瞬間,預測24小時,準確率90%,標記轉折點
推背圖,卜術-卜卦,5,10000,2592000,5000功德,瞬間,預測重大事件,準確率95% 每輪迴3次,需時間長河
擇日,卜術-趨吉,1,0,0,0,被動,顯示時辰吉凶,被動顯示,吉時+10%成功率
尋龍分金,卜術-趨吉,2,1000,0,500功德,戰鬥期間,標記吉位凶位,戰鬥中,占據有利地形
