成就名稱,類型,達成條件,獎勵,稀有度,隱藏,提示
第一步,探索,完成第一次算命,100 Credits,普通,否,開始你的旅程
輪迴者,核心,完成第一次輪迴,稱號「輪迴者」,普通,否,死亡不是終點
記憶的延續,核心,觸發第一次NPC記憶繼承,500功德,稀有,否,她記得你
師門重逢,劇情,遇到任意一位師兄師姐,稱號「天機山弟子」,稀有,否,同門有難
五術初成,修行,五術全部達到Lv.3,1000功德,稀有,否,踏上修行路
五術大成,修行,五術全部達到Lv.5,5000功德,史詩,否,接近通天
通天,核心,五術全部MAX,稱號「通天者」,傳說,否,超越凡人
集齊至寶,收集,獲得五個創世至寶,10000功德,傳說,否,造夢者的工具
集齊碎片,收集,獲得十片法則碎片,10000功德,傳說,否,法則掌握者
萬族共主,外交,十宇宙聲望全>80,稱號「萬族共主」,神話,否,幾乎不可能
富可敵國,經濟,總資產>100000000,稱號「首富」,史詩,否,金錢至上
不死之身,修行,山術達到MAX,稱號「不死者」,傳說,否,涅槃重生
弒神者,戰鬥,擊殺任意一位道主(弱化),稱號「弒神者」,神話,是,挑戰神明
守夢者,結局,達成結局A,特殊皮膚,傳說,是,守護夢境
覺醒者,結局,達成結局B,真實世界後日談,傳說,是,追求真相
失控的神,結局,達成結局C,混沌模式,傳說,是,野心的代價
造夢者,結局,達成結局D(True),編輯器模式,神話,是,煉假成真
百輪修行,輪迴,完成100次輪迴,稱號「永恆流浪者」,史詩,否,堅持不懈
靈魂伴侶,感情,與任意NPC達成靈魂伴侶,特殊CG,稀有,否,真愛
同居生活,房產,邀請任意NPC成為同居者,房產裝飾,稀有,否,家的溫暖
組織之王,組織,加入所有五大組織,稱號「萬能者」,史詩,是,遊走各方
百萬功德,修行,累積功德>1000000,稱號「聖人」,傳說,否,功德圓滿
算無遺策,卜術,使用推背圖預測10次全部正確,稱號「預言家」,史詩,是,掐指一算
改天換地,命術,使用逆天改命成功10次,稱號「逆天者」,傳說,是,逆天改命
破妄,相術,達成破妄之眼,稱號「破妄者」,傳說,是,看清真相
醫者仁心,醫術,救活100個NPC,稱號「醫聖」,史詩,否,救死扶傷
驅魔大師,醫術,度化50個惡靈,稱號「驅魔師」,稀有,否,超度亡魂
風水大師,相術,佈置完美風水陣50次,稱號「風水師」,稀有,否,調和天地
時間旅行者,特殊,在同一輪迴使用時間回溯,稱號「時間旅行者」,傳說,是,改寫歷史
破壞者,混亂,世界變動率達到100%,稱號「混沌使者」,傳說,是,打破平衡
倖存者,生存,在變動率>90%下存活1小時,稱號「倖存者」,史詩,是,逃出生天
道主殺手,戰鬥,擊殺3位道主(弱化),稱號「神殺手」,神話,是,眾神的噩夢
觀察者獵手,戰鬥,擊殺10個觀察者,稱號「反抗者」,傳說,是,反抗天命
荒獸馴服者,特殊,馴服任意一頭荒獸,稱號「馴獸師」,神話,是,不可能的任務
師門榮耀,劇情,拯救所有師兄師姐,稱號「師門之光」,傳說,是,同門有難 八方支援
前人足跡,收集,找到全部237個弟子的遺物,稱號「考古學家」,神話,是,他們的故事
真相追尋者,探索,發現所有宇宙的秘密,稱號「真相追尋者」,傳說,是,無知即是罪
和平使者,外交,調停一次道主內戰,稱號「和平使者」,神話,是,化干戈為玉帛
革命領袖,組織,帶領SOLA推翻一個星主,稱號「革命者」,史詩,否,自由之火
海盜王,組織,成為VRG盟主,稱號「海盜王」,傳說,是,擊敗阿特拉斯
永生,特殊,壽命>5000歲,稱號「長生者」,神話,是,超越時間
第四面牆,元敘事,發現玩家的存在,稱號「覺醒者」,神話,是,真正的覺醒
完美主義者,收集,達成所有其他成就,稱號「完美者」,神話,是,100%完成度
